item_id,category,image_url,title
0,3,http://gw.alicdn.com/imgextra/i3/18/O1CN01b5qPlJ1C0HeDmQ73Z_!!18-2-luban.png,Official Store of yeah jewelry Original Design Jewelry Dwarf Country Earrings 925 Silver Plated Women's Gift Accessories
1,10,http://gw.alicdn.com/imgextra/i4/67/O1CN010921sg1CMj23jEo29_!!67-2-luban.png,New Arrival Fall Winter 2019 Black Fitting Long Dress for Women Elegant Basic Skirt Mid-Length Woolen Coat Dress
2,43,http://gw.alicdn.com/imgextra/i3/77/O1CN01I1Kwr41CRJ0oZj1uk_!!77-2-luban.png,Yoshino Original Versatile Underwear Girls Thin Classic High-Waist Black Straight Leg Fitting Pants for Spring 2019
3,16,http://gw.alicdn.com/imgextra/i4/190/O1CN01tu5fes1DH3lfZTs5s_!!190-2-luban.png,Alex high-waist wide-leg pants for women spring 2019 new embroidery street stripe split sporty pants
4,46,http://gw.alicdn.com/imgextra/i4/13/O1CN01kHo0eZ1BxzfEaMDW2_!!13-2-luban.png,Sogo★Personalized Cartoon Embroidered Washed Vintage Jeans Baseball Cap for Men and Women Couples Streetwear Snapback Hat Trendy
5,1,http://gw.alicdn.com/imgextra/i4/80/TB22O78m8smBKNjSZFFXXcT9VXa_!!80-2-luban.png,NOTHOMME Japanese-style潮流 loose nine-inch suit pants for men solid color tapered休闲 pants for work ifashion
6,30,http://gw.alicdn.com/imgextra/i2/1/O1CN011BsUrlror687ik0_!!1-2-luban.png,Clearance Winter Original Vintage Versatile Relaxed Pilot Jacket for Men Korean Version Casual White Workwear Coat
7,10,http://gw.alicdn.com/imgextra/i3/164/O1CN01OtvHC61D59TNM9Q9A_!!164-2-luban.png,Improved Hanfu Women's Retro Style Dress Collar Traditional Chinese Ethnic Cotton Hemp Long Dress改良 Flag袍 Blue Pure Color
8,15,http://gw.alicdn.com/imgextra/i1/66/O1CN01LRp6UQ1CMGeD4EP2E_!!66-2-luban.png,VERAMOON New Silver Gray Elegant Sparkle Heel High Heels Sexy Pointed-Toe Evening Women's Singles Shoes Summer
9,10,http://gw.alicdn.com/imgextra/i3/124/O1CN01snAHJJ1CmpdY8N3Fx_!!124-2-luban.png,Yanjia Tang 2019 Spring New Women Slim-Fitting Mesh Silk Embroidered Cheongsam Style Midi Dress Siya
10,48,http://gw.alicdn.com/imgextra/i3/2/O1CN01DQB0tG1BsxIyHvjR0_!!2-2-luban.png,Gentle Light Blue Denim Shirt with Elastic Waistband and Flip Sleeves Rayon Liner
11,48,http://gw.alicdn.com/imgextra/i3/188/O1CN01XCvltp1DG8yn1ZOzw_!!188-2-luban.png,MaLin Arts Women's Summer New Arrival 2019 Retro Standing Collar Pure Boke Hemp Button-up Shirt Short Sleeve Cotton Hemp Top for Women
12,46,http://gw.alicdn.com/imgextra/i4/34/O1CN01B9kLkr1C7bwWby7bv_!!34-2-luban.png,SIMPLE BLACK Dark Japanese Style Canvas Fisherman Hat Basin Hat
13,23,http://gw.alicdn.com/imgextra/i1/199/O1CN01Chro8S1DLBLFJ0OOe_!!199-2-luban.png,Parody Bag for Women 2019 New Trendy Single Shoulder Crossbody Fashion Handbag with Buckles Kelly Style
14,32,http://gw.alicdn.com/imgextra/i3/107/TB2OSe8XkC4K1Rjt_j7XXakEXXa_!!107-2-luban.png,Genanx Lightning Wave Brand Graffiti Print Jeans for Men Trendy Korean Fit Skinny Pants Hip Hop Personal Long Pants
15,10,http://gw.alicdn.com/imgextra/i1/193/O1CN01ZhQkjq1DIQw7sO8E3_!!193-2-luban.png,Tangli Fall New European Orange Pink V-neck Flared Sleeve Seductive Off-shoulder Dress for Women
16,39,http://gw.alicdn.com/imgextra/i3/113/O1CN01nq2Vem1ChnGvo0ESZ_!!113-2-luban.png,Blue Dot Japanese Okayama Canvas Shoes for Men and Women Retro Jūrōmǐ Shoes Vintage Vulcanized Shoes Trendy
17,23,http://gw.alicdn.com/imgextra/i4/156/O1CN01gNeBip1D1UIiSY1sv_!!156-2-luban.png,Red Valley Women's Handbag 2018 Authentic New Leather Versatile Elegance Pure White Shoulder Crossbody Tote 0395
